epoch,accuracy,loss,val_accuracy,val_loss,,,,,,,,,,,,
0,0.503521144,0.882638156,0.515625,0.884051025,,,,,,,,,,,,
1,0.67723006,0.700756967,0.67578125,0.715873539,,,,,,,,,,,,
2,0.757629097,0.536358535,0.72265625,0.563791394,,,,,,,,,,,,
3,0.816901386,0.41999948,0.78125,0.477321208,,,,,,,,,,,,
4,0.870305181,0.338779509,0.78125,0.515283406,,,,,,,,,,,,
5,0.834507048,0.406801462,0.8515625,0.324867576,,,,,,,,,,,,
6,0.919014096,0.203866273,0.87109375,0.290479362,,,,,,,,,,,,
7,0.896713614,0.309012085,0.859375,0.328522176,,,,,,,,,,,,
8,0.921948373,0.19028762,0.91015625,0.227420121,,,,,,,,,,,,
9,0.905516446,0.238902241,0.859375,0.356951177,,,,,,,,,,,,
10,0.965375602,0.100507036,0.9140625,0.183228076,,,,,,,,,,,,
11,0.954225361,0.126121938,0.9375,0.167942032,,,,,,,,,,,,
12,0.954225361,0.123876207,0.87109375,0.453173131,,,,,,,,,,,,
13,0.976525843,0.071887977,0.9140625,0.250023037,,,,,,,,,,,,
14,0.960093915,0.110506997,0.8828125,0.306437224,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
